Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL,Fill In?
Record,No Secrets,Carly Simon,1972,Folk(?),USA,"Joni Mitchell, Carole King, Bonnie Rait",I5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxxO4QMdoxrSehGgVqerTUq32I9KaM_3Q2Tw&s,
Record,La Folie,The Stranglers,1981,Post Punk,UK,"The Cure, Depeche Mode, New Order, ",I4,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Stranglers_-_La_Folie_album_cover.jpg/220px-Stranglers_-_La_Folie_album_cover.jpg,
Record,Tossing Seeds,Superchunk,1989-1991,Punk,USA,"Stiff Little Fingers, The Replacements, The New Pornographers ",I4,https://f4.bcbits.com/img/a3440883926_10.jpg,
Record,Samiam,Samiam,1990,Punk,USA,"Decendents, ",I4,https://f4.bcbits.com/img/a1817022621_10.jpg,
Record,Assorted Jelly Beans,Assorted Jelly Beans,1996,Punk/Ska,USA,"Operation Ivy, Mest, The Suicide Machines ",I4,"https://m.media-amazon.com/images/I/710OUD9CLXL._UF1000,1000_QL80_.jpg",
Record,In Nature,Cat Scan,2019,Punk,USA,"Amyl and the Sniffers, Karate, Vundabar, Wet leg",I4,https://f4.bcbits.com/img/a0132596684_16.jpg,
Record,Rattus Norevegicus,The Strangelrs,1977,Punk,USA,"The Cure, Depeche Mode, New Order, ",I4,"https://m.media-amazon.com/images/I/61VmnUTCoiL._UF1000,1000_QL80_.jpg",
Record,Squirrel Bait,Squirrel Bait,1997,Punk,USA,"Alice in Chains, Agent Orange, ",I4,https://upload.wikimedia.org/wikipedia/en/2/2e/Squirrel_Bait_Squirrel_Bait_EP_.jpg,
Record,Heavily Bodies,Rains on Me,1986,New Wave,UK,"Billy Idol, The Cure, Siouxsie",I4,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEitbAkRAwXtfVRMiIlbwpqN74qOuhG1sxjPSEWlcjChRx24COuqrWQYSHm5Ix7mHEv_baNG4UlGFAhqPaP0Jy0ueuZvM1x7V-nBWGLLGCpKI_dYz6ClaJLyMU2sLEOFrlgeVCr8-FwgwrAF/s1600/rainsonme12.jpg,
Record,Ball of Confusion,Love and Rockets,1985,New Wave,UK,Bauhaus,I4,,
Record,I came to dance,nils lofgren,1977,Rock,USA,,I4,https://upload.wikimedia.org/wikipedia/en/6/6e/Cover_-_i_came_to_dance.jpg,
Record,The world by storm,the three johns,1986,Post punk,UK,,I4,https://f4.bcbits.com/img/a4015393737_10.jpg,
Record,Widespread Bloodshed/ Love Runs Red,No Mercy,2014,Thrash,USA,Suicidal Tendencies,I4,https://i.discogs.com/PfbfGXPEnumdncguyylhKrm3tHWupFToIJJ3oW_k-9M/rs:fit/g:sm/q:90/h:588/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMzAy/MTI0LTE1NTE3MDI4/MzctMzU2My5qcGVn.jpeg,
Record,Thirsty's Calling,The Moodists,1984,Post Punk,AU,The Dirty Three,I4,https://upload.wikimedia.org/wikipedia/en/8/8c/No_Mercy_Widespread_Bloodshed.jpg,
Record,Death to Trad Rock,The Membranes,1984,Post Punk,UK,Soft Boys/Killing Joke,I4,https://i.discogs.com/n7mPZVCr9brISnjV_gtEWirJxi3Nps1_eC3bB6MaLSE/rs:fit/g:sm/q:90/h:594/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2ODU2/NTEtMTM3MDU5Mzgz/Ni0yNjI1LmpwZWc.jpeg,
Record,3-Way Tie(For Last),Minutemen,1985,Post Punk,USA,The Wire/ Death/TSOL,I4,https://upload.wikimedia.org/wikipedia/en/b/b6/Minutemen3waytie.jpg,
Record,Child of Novelty,Mahogany Rush,1974,Pyschedelic Rock,CAN,Jimi Hendrix/ Grateful Dead,I4,https://upload.wikimedia.org/wikipedia/en/a/a5/Mahogany_Rush_child_of_the_novelty.jpg,
Record,Electric Trouble,Les Thugs,1988,Post Punk,FR,Estranged TV/The Ex/ Pussy Galore,I4,https://i.discogs.com/6_m6Y8SNPYpZbhfY4NFyO4biLEj7c7rywW9w39c7F4k/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MTU3/MDktMTUyMTcyNTQ1/OS03NzkyLmpwZWc.jpeg,
Record,Self Titled,Legs Diamond,1977,Glam Rock,USA,Silver/Survivor,I4,https://upload.wikimedia.org/wikipedia/en/3/38/Legsdiamondalbum.jpg,
Record,Twelve Point buck,Killdozer,1989,Proto Grunge/Post Hardcore,USA,Nirvana/ Failure,I4,https://upload.wikimedia.org/wikipedia/en/1/12/Killdozer_-_Twelve_Point_Buck.jpg,
Record,Cocktail Mix,Rubella Ballet,1982,Punk Rock,UK,XTC / The Damned,I4,https://i.discogs.com/da7Rk_goH7R_7uOjVCPLLMr4eaQQITChPZg-FHsHFJs/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NTY4/OTktMTI2OTg4MDUz/NC5qcGVn.jpeg,
Record,Why do they call me Mr. Happy,Nomeansno,1993,Punk,Canada,The Cramps/The Ramones,I4,https://upload.wikimedia.org/wikipedia/en/f/f0/Nomeansno_Why_Do_They_Call_Me_Mr._Happy.jpg,
